index,country,,,
ff,AFGHANISTAN,KABUL,,
fe,ALBANIA,TIRANA,,
fd,ALGERIA,ALGIERS,,
fc,ANDORRA,ANDORRA LA VELLA,,
fb,ANGOLA,LUANDA,,
fa,ANTIGUA & BARBUDA,SAINT JOHN'S,,
f9,ARGENTINA,BUENOS AIRES,,
f8,ARMENIA,YEREVAN,,
f7,AUSTRALIA,CANBERRA,,
f6,AUSTRIA,VIENNA,,
0a,AZERBAIJAN,BAKU,,
0b,"BAHAMAS, THE",NASSAU,
0c,BAHRAIN,MANAMA,,
0d,BANGLADESH,DHAKA,,
0e,BARBADOS,BRIDGETOWN,,
0f,BELARUS,MINSK,,
10,BELGIUM,BRUSSELS,,
11,BELIZE,BELMOPAN,,
12,BENIN,PORTO-NOVO,,
13,BHUTAN,THIMPHU,,
14,BOLIVIA,SUCRE,,
15,BOSNIA & HERZEGOVINA,SARAJEVO,,
16,BOTSWANA,GABORONE,,
17,BRAZIL,BRASILIA,,
18,BRUNEI,BANDAR SERI BEGAWAN,,
19,BULGARIA,SOFIA,,
1a,BURKINA FASO,OUAGADOUGOU,,
1b,BURUNDI,"GITEGA, BUJUMBURA",
1c,CABO VERDE,PRAIA,,
1d,CAMBODIA,PHNOM PENH,,
1e,CAMEROON,YAOUNDE,,
1f,CANADA,OTTAWA,,
20,CENTRAL AFRICAN REPUBLIC,BANGUI,,
21,CHAD,N'DJAMENA,,
22,CHILE,SANTIAGO,,
23,CHINA,BEIJING,,
24,COLOMBIA,BOGOTÁ,,
25,COMOROS,MORONI,,
26,"CONGO, DEMOCRATIC REPUBLIC OF THE",KINSHASA,
27,"CONGO, REPUBLIC OF THE",BRAZZAVILLE,
28,COSTA RICA,SAN JOSE,,
29,CÔTE D'IVOIRE (Ivory Coast),YAMOUSSOUKRO,,
2a,CROATIA,ZAGREB,,
2b,CUBA,HAVANA,,
2c,CYPRUS,NICOSIA,,
2d,CZECHIA (Czech Republic),PRAGUE,,
2e,DENMARK,COPENHAGEN,,
2f,DJIBOUTI,DJIBOUTI (CITY),,
30,DOMINICA,ROSEAU,,
31,DOMINICAN REPUBLIC,SANTO DOMINGO,,
32,ECUADOR,QUITO,,
33,EGYPT,CAIRO,,
34,EL SALVADOR,SAN SALVADOR,,
35,EQUATORIAL GUINEA,MALABO,,
36,ERITREA,ASMARA,,
37,ESTONIA,TALLINN,,
38,ESWATINI (formerly Swaziland),MBABANE,,
39,ETHIOPIA,ADDIS ABABA,,
3a,FIJI,SUVA,,
3b,FINLAND,HELSINKI,,
3c,FRANCE,PARIS,,
3d,GABON,LIBREVILLE,,
3e,"GAMBIA, THE",BANJUL,
3f,GEORGIA,TBILISI,,
40,GERMANY,BERLIN,,
41,GHANA,ACCRA,,
42,GREECE,ATHENS,,
43,GRENADA,SAINT GEORGE'S,,
44,GUATEMALA,GUATEMALA CITY,,
45,GUINEA,CONAKRY,,
46,GUINEA-BISSAU,BISSAU,,
47,GUYANA,GEORGETOWN,,
48,HAITI,PORT-AU-PRINCE,,
49,HONDURAS,TEGUCIGALPA,,
4a,HUNGARY,BUDAPEST,,
4b,ICELAND,REYKJAVIK,,
4c,INDIA,NEW DELHI,,
4d,INDONESIA,JAKARTA,,
4e,IRAN,TEHRAN,,
4f,IRAQ,BAGHDAD,,
50,IRELAND,DUBLIN,,
51,ISRAEL,JERUSALEM,,
52,ITALY,ROME,,
53,JAMAICA,KINGSTON,,
54,JAPAN,TOKYO,,
55,JORDAN,AMMAN,,
56,KAZAKHSTAN,NUR-SULTAN,,
57,KENYA,NAIROBI,,
58,KIRIBATI,SOUTH TARAWA,,
59,KOSOVO,PRISTINA,,
5a,KUWAIT,KUWAIT CITY,,
5b,KYRGYZSTAN,BISHKEK,,
5c,LAOS,VIENTIANE,,
5d,LATVIA,RIGA,,
5e,LEBANON,BEIRUT,,
5f,LESOTHO,MASERU,,
60,LIBERIA,MONROVIA,,
61,LIBYA,TRIPOLI,,
62,LIECHTENSTEIN,VADUZ,,
63,LITHUANIA,VILNIUS,,
64,LUXEMBOURG,LUXEMBOURG,,
65,MADAGASCAR,ANTANANARIVO,,
66,MALAWI,LILONGWE,,
67,MALAYSIA,KUALA LUMPUR,,
68,MALDIVES,MALE,,
69,MALI,BAMAKO,,
6a,MALTA,VALLETTA,,
6b,MARSHALLISLANDS,MAJURO,,
6c,MAURITANIA,NOUAKCHOTT,,
6d,MAURITIUS,PORT LOUIS,,
6e,MEXICO,MEXICO CITY,,
6f,"MICRONESIA, FEDERATED STATES OF",PALIKIR,
70,MOLDOVA,CHISINAU,,
71,MONACO,MONACO,,
72,MONGOLIA,ULAANBAATAR,,
73,MONTENEGRO,PODGORICA,,
74,MOROCCO,RABAT,,
75,MOZAMBIQUE,MAPUTO,,
76,MYANMAR(Burma),NAY PYI TAW,,
77,NAMIBIA,WINDHOEK,,
78,NAURU,YAREN DISTRICT,,
79,NEPAL,KATHMANDU,,
7a,NETHERLANDS,AMSTERDAM,,
7b,NEW ZEALAND,WELLINGTON,,
7c,NICARAGUA,MANAGUA,,
7d,NIGER,NIAMEY,,
7e,NIGERIA,ABUJA,,
7f,NORTH KOREA,PYONGYANG,,
80,NORTH MACEDONIA(formerly Macedonia),SKOPJE,,
81,NORWAY,OSLO,,
82,OMAN,MUSCAT,,
83,PAKISTAN,ISLAMABAD,,
84,PALAU,NGERULMUD,,
85,PALESTINE,EAST JERUSALEM,,
86,PANAMA,PANAMA CITY,,
87,PAPUA NEW GUINEA,PORT MORESBY,,
88,PARAGUAY,ASUNCIÓN,,
89,PERU,LIMA,,
8a,PHILIPPINES,MANILA,,
8b,POLAND,WARSAW,,
8c,PORTUGAL,LISBON,,
8d,QATAR,DOHA,,
8e,ROMANIA,BUCHAREST,,
8f,RUSSIA,MOSCOW,,
90,RWANDA,KIGALI,,
91,SAINT KITTS & NEVIS,BASSETERRE,,
92,SAINT LUCIA,CASTRIES,,
93,SAINT VINCENT & THE GRENADINES,KINGSTOWN,,
94,SAMOA,APIA,,
95,SAN MARINO,SAN MARINO,,
96,SÃO TOMÉ & PRÍNCIPE,SÃO TOMÉ,,
97,SAUDI ARABIA,RIYADH,,
98,SENEGAL,DAKAR,,
99,SERBIA,BELGRADE,,
9a,SEYCHELLES,VICTORIA,,
9b,SIERRA LEONE,FREETOWN,,
9c,SINGAPORE,SINGAPORE,,
9d,SLOVAKIA,BRATISLAVA,,
9e,SLOVENIA,LJUBLJANA,,
9f,SOLOMON ISLANDS,HONIARA,,
a0,SOMALIA,MOGADISHU,,
a1,SOUTH AFRICA,"BLOEMFONTEIN, CAPE TOWN, PRETORIA"
a2,SOUTH KOREA,SEOUL,,
a3,SOUTH SUDAN,JUBA,,
a4,SPAIN,MADRID,,
a5,SRI LANKA,"COLOMBO, SRI JAYAWARDENEPURA KOTTE",
a6,SUDAN,KHARTOUM,,
a7,SURINAME,PARAMARIBO,,
a8,SWEDEN,STOCKHOLM,,
a9,SWITZERLAND,BERN,,
aa,SYRIA,DAMASCUS,,
ab,TAJIKISTAN,DUSHANBE,,
ac,TANZANIA,DODOMA,,
ad,THAILAND,BANGKOK,,
ae,TIMOR-LESTE,DILI,,
af,TOGO,LOMÉ,,
b0,TONGA,NUKUʻALOFA,,
b1,TRINIDAD & TOBAGO,PORT OF SPAIN,,
b2,TUNISIA,TUNIS,,
b3,TÜRKIYE,ANKARA,,
b4,TURKMENISTAN,ASHGABAT,,
b5,TUVALU,FUNAFUTI,,
b6,UGANDA,KAMPALA,,
b7,UKRAINE,KIEV,,
b8,UNITED ARAB EMIRATES (UAE),ABU DHABI,,
b9,UNITED KINGDOM (UK)*,LONDON,,
ba,UNITED STATES OF AMERICA (USA),"WASHINGTON, D.C.",
bb,URUGUAY,MONTEVIDEO,,
bc,UZBEKISTAN,TASHKENT,,
bd,VANUATU,PORT VILA,,
be,VATICAN CITY (Holy See),VATICAN CITY,,
bf,VENEZUELA,CARACAS,,
c0,VIETNAM,HANOI,,
c1,YEMEN,SANA'A,,
c2,ZAMBIA,LUSAKA,,
c3,ZIMBABWE,HARARE,,
